ID|JOKE
1|Im so good at sleeping I can do it with my eyes closed!
2|Which U.S. state is famous for its extra-small soft drinks? Minnesota!
3|What did the Ranch say when someone opened the refrigerator door? Close the door, Im dressing!
4|If two vegans get in a fight, is it still considered a beef?
5|I wanted to go on a diet, but I feel like I have way too much on my plate right now.What do you call a 6. Mexican who has lost his car? Carlos.
7|What do you call a fake noodle? An Impasta.
8|Every time I hurt myself, even to this day, my dad says, The good news is..itll feel better when it quits hurting.
9|My dad literally told me this one last week: Did you hear about the guy who invented Lifesavers? They say he made a mint.
10|Why dont skeletons ever go trick or treating? Because they have nobody to go with.
11|I got so angry the other day when I couldnt find my stress ball.
12|The only thing worse than having diarrhea is having to spell it.
13|I keep trying to lose weight, but it keeps finding me.
14|Why did the blonde stare at the orange juice container?  It said concentrate!
15|I went to buy some camouflage trousers the other day, but I couldnt find any.
16|Q: What do you call a belt with a watch on it?A: A waist of time.
17|Did you hear about the man who stole a calendar? He got 12 months.
18|I dreamed about drowning in an ocean made out of orange soda last night. It took me a while to work out it was just a Fanta sea.
19|I am terrified of elevators. Im going to start taking steps to avoid them.
20|Why was the big cat disqualified from the race? Because it was a cheetah.
21|Breaking news! Energizer Bunny arrested – charged with battery
22|Doctor, Ive broken my arm in several places Doctor Well dont go to those places.
23|A police officer caught two kids playing with a firework and a car battery. He charged one and let the other one off.
24|Im reading a book on the history of glue – cant put it down.
25|Q: Whats 50 Cents name in Zimbabwe? A: 400 Million Dollars.
26|So a duck walks into a pharmacy and says Give me some chap-stick… and put it on my bill
27|Why are skeletons so calm? Because nothing gets under their skin.
28|Have you ever heard of a music group called Cellophane? They mostly wrap.
29|What kind of magic do cows believe in? MOODOO.
30|Why does Superman gets invited to dinners? Because he is a Supperhero.
31|My boss told me to have a good day. So I went home!
32|Why do trees seem suspicious on sunny days? They just seem a little shady!
33|A cheese factory exploded in France. Da brie is everywhere!
34|Why did the picture go to jail? Because it was framed.
35|To the man in the wheelchair that stole my camouflage jacket… You can hide but you cant run.
36|Q: Why did the cookie cry? A: Because his father was a wafer so long!
37|This graveyard looks overcrowded. People must be dying to get in there.
38|Whenever the cashier at the grocery store asks my dad if he would like the milk in a bag he replies, No, just leave it in the carton!
39|If I had a dime for every book Ive ever read, Id say: Wow, thats coincidental.
40|Me: Dad, make me a sandwich! Dad: Poof, Youre a sandwich!
41|Whats Forrest Gumps password? 1forrest1
42|I asked my friend to help me with a math problem. He said: Dont worry; this is a piece of cake. I said: No, its a math problem.
43|How do you make a tissue dance?  You put a little boogie in it!
44|Q: How do you organize an outer space party? A: You planet.
45|A man woke up in a hospital after a serious accident. He shouted, Doctor, doctor, I cant feel my legs! The doctor replied, I know you cant Ive cut off your arms!
46|Why do crabs never give to charity? Because theyre shellfish.
47|What do you call a man with no nose and no body? Nobody nose.
48|Whats the advantage of living in Switzerland? Well, the flag is a big plus.
49|Why did the octopus beat the shark in a fight? Because it was well armed.
50|Bicycles cant stand on their own, theyre two tired.
51|Theres a new type of broom out, its sweeping the nation.
52|We were getting fast food when the lady at the window said, Any condiments? My dad responded, Compliments? You look very nice today!
53|What cheese can never be yours? Nacho cheese.
54|Did you hear about the kidnapping at school? Its fine, he woke up.
55|Q: What did baby corn say to mama corn? A: Wheres popcorn?
56|What did the Buffalo say to his little boy when he dropped him off at school? Bison.
57|What did the 0 say to the 8? Nice belt.
